stop_id,on_street,cross_street,routes,boardings,alightings,month_beginning,daytype,location
14256,RIDGE,SEWARD,"201,206",22.8,13,10/01/2012,Weekday,"(42.02862034, -87.68537363)"
14257,RIDGE,SEWARD,"201,206",6.7,18.9,10/01/2012,Weekday,"(42.02903901, -87.68582287)"
14258,RIDGE,MONROE,"201,206",21.4,7.5,10/01/2012,Weekday,"(42.03059903, -87.68573726)"
14259,RIDGE,MONROE,"201,206",5.7,16,10/01/2012,Weekday,"(42.03091406, -87.68625734)"
14260,RIDGE,WASHINGTON,"201,206",22,9.9,10/01/2012,Weekday,"(42.03265632, -87.68620478)"
14261,RIDGE,WASHINGTON,"201,206",6.6,15.8,10/01/2012,Weekday,"(42.03286713, -87.68669105)"
14262,RIDGE,LEE,"201,206",1.4,1.3,10/01/2012,Weekday,"(42.03570306, -87.68687163)"
14263,RIDGE,LEE,"201,206",20.8,35.1,10/01/2012,Weekday,"(42.03593967, -87.68732277)"
14264,RIDGE,GREENLEAF,"201,206",12.7,7.4,10/01/2012,Weekday,"(42.03747388, -87.68727234)"
14265,RIDGE,GREENLEAF,"201,206",2,4.3,10/01/2012,Weekday,"(42.03771049, -87.68772350)"
14266,RIDGE,CRAIN,"201,206",8.4,1.8,10/01/2012,Weekday,"(42.03927071, -87.68767282)"
14267,RIDGE,CRAIN,"201,206",5.6,7.9,10/01/2012,Weekday,"(42.03948112, -87.68808936)"
14268,RIDGE,GREENWOOD,"201,206",2.4,3.9,10/01/2012,Weekday,"(42.04257672, -87.68819761)"
14269,RIDGE,GREENWOOD,201,10.7,22.1,10/01/2012,Weekday,"(42.04281293, -87.68857902)"
14270,RIDGE,LAKE,"201,206",5.9,14.1,10/01/2012,Weekday,"(42.04403388, -87.68832243)"
14271,RIDGE,LAKE,201,0,1,10/01/2012,Weekday,"(42.04429571, -87.68863382)"
14272,SHERMAN,EMERSON,N201,0.1,1.6,10/01/2012,Weekday,"(42.05192251, -87.68148498)"
14273,SHERMAN,EMERSON,N201,0.3,0.1,10/01/2012,Weekday,"(42.05226908, -87.68204847)"
14277,SHERMAN,COLFAX,N201,0,0,10/01/2012,Weekday,"(42.06066772, -87.68192721)"
14279,SHERMAN,LINCOLN,N201,0,0,10/01/2012,Weekday,"(42.06180301, -87.68184471)"
14280,CENTRAL STREET,ASBURY,201,5.2,16.3,10/01/2012,Weekday,"(42.06427723, -87.68929984)"
14281,CENTRAL STREET,ASHLAND,201,1.4,9.7,10/01/2012,Weekday,"(42.06437270, -87.69376028)"
14282,CENTRAL STREET,ASHLAND,201,28.2,2.6,10/01/2012,Weekday,"(42.06421173, -87.69395503)"
14283,CENTRAL STREET,WALNUT,"201,206",2.2,3.4,10/01/2012,Weekday,"(42.06447731, -87.70466450)"
14284,CENTRAL STREET,WALNUT,"201,206",2.6,0.5,10/01/2012,Weekday,"(42.06422932, -87.70473200)"
14285,CENTRAL STREET,BENNETT,"201,206",2.2,14.8,10/01/2012,Weekday,"(42.06455070, -87.71051171)"
14286,CENTRAL STREET,BENNETT,"201,206",19.2,2.5,10/01/2012,Weekday,"(42.06437655, -87.71080073)"
14287,CENTRAL STREET,REESE,"201,206",0.5,6.3,10/01/2012,Weekday,"(42.06454456, -87.71378318)"
14288,CENTRAL STREET,REESE,"201,206",17.8,2.8,10/01/2012,Weekday,"(42.06435762, -87.71398011)"
14289,CENTRAL STREET,LAWNDALE,"201,206",3.8,58,10/01/2012,Weekday,"(42.06462571, -87.72059172)"
14290,CENTRAL STREET,LAWNDALE,"201,206",19.9,1.4,10/01/2012,Weekday,"(42.06436647, -87.72047205)"
